ticker,security_class,industry,stock_exchange,security/asset_type,sec_blacklisted,wf_blacklisted,esg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIS,EQUITY,FINANCE,NYSE,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDNS,EQUITY,TECHNOLOGY,NASDAQ,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT,EQUITY,TECHNOLOGY,NYSE,COM NEW,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVGO,EQUITY,TECHNOLOGY,NASDAQ,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKNG,EQUITY,CONSUMER,NASDAQ,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COF,EQUITY,FINANCE,NYSE,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTRA,EQUITY,HEALTHCARE,NASDAQ,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOO,EQUITY,OTHER,NYSE,ETF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BND,EQUITY,OTHER,NASDAQ,ETF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLT,EQUITY,OTHER,NASDAQ,ETF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGG,EQUITY,OTHER,NYSE,ETF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQD,EQUITY,OTHER,NASDAQ,ETF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCIT,EQUITY,OTHER,NASDAQ,ETF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIP,EQUITY,OTHER,NASDAQ,ETF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDX,EQUITY,OTHER,NASDAQ,ETF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
